State Code,Num_In_Statees,State
1,3,ALABAMA
5,8,ARKANSAS
4,17,ARIZONA
6,118,CALIFORNIA
8,19,COLORADO
9,27,CONNECTICUT
10,2,DELAWARE
12,35,FLORIDA
13,30,GEORGIA
15,3,HAWAII
19,6,IOWA
16,3,IDAHO
17,70,ILLINOIS
18,17,INDIANA
20,6,KANSAS
21,9,KENTUCKY
22,3,LOUISIANA
25,32,MASSACHUSETTS
24,12,MARYLAND
23,1,MAINE
26,28,MICHIGAN
27,25,MINNESOTA
29,23,MISSOURI
28,1,MISSISSIPPI
37,26,NORTH CAROLINA
38,1,NORTH DAKOTA
31,8,NEBRASKA
33,2,NEW HAMPSHIRE
34,33,NEW JERSEY
32,9,NEVADA
36,93,NEW YORK
39,57,OHIO
40,10,OKLAHOMA
41,5,OREGON
42,42,PENNSYLVANIA
72,2,PUERTO RICO
44,7,RHODE ISLAND
45,5,SOUTH CAROLINA
47,23,TENNESSEE
48,94,TEXAS
49,4,UTAH
51,38,VIRGINIA
50,1,VERMONT
53,20,WASHINGTON
55,22,WISCONSIN