1,13954.4,ALABAMA
5,573975,ARKANSAS
4,104540,ARIZONA
6,1760873,CALIFORNIA
8,141366,COLORADO
9,373875,CONNECTICUT
10,11362,DELAWARE
12,328895.9,FLORIDA
13,431707,GEORGIA
15,7299,HAWAII
19,35782,IOWA
16,84432,IDAHO
17,973077,ILLINOIS
18,199962,INDIANA
20,24436,KANSAS
21,83562,KENTUCKY
22,31519,LOUISIANA
25,397201,MASSACHUSETTS
24,117344,MARYLAND
23,1969,MAINE
26,580508,MICHIGAN
27,558323,MINNESOTA
29,271042,MISSOURI
28,3342,MISSISSIPPI
37,325466,NORTH CAROLINA
38,4444,NORTH DAKOTA
31,292931,NEBRASKA
33,5767,NEW HAMPSHIRE
34,435234,NEW JERSEY
32,48815,NEVADA
36,1515587.5,NEW YORK
39,745360.2,OHIO
40,69447,OKLAHOMA
41,51081,OREGON
42,533160,PENNSYLVANIA
72,5061,PUERTO RICO
44,227367,RHODE ISLAND
45,21682,SOUTH CAROLINA
47,273747,TENNESSEE
48,1497844,TEXAS
49,10766,UTAH
51,406642,VIRGINIA
50,2275,VERMONT
53,641765,WASHINGTON
55,153414.4,WISCONSIN